Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5",1206,3,0.1uF,
C10,C_Disc_D3.0mm_W2.0mm_P2.50mm,1,2.2uF,
C11,1206,1,2.2uF,
C12,C_Disc_D3.0mm_W2.0mm_P2.50mm,1,27nF,
C13,1206,1,27nF,
"C2, C4, C6",C_Disc_D3.0mm_W2.0mm_P2.50mm,3,0.1uF,
C7,1206,1,10uF,
C8,C_Disc_D3.0mm_W2.0mm_P2.50mm,1,10uF,
C9,CP_Radial_D5.0mm_P2.00mm,1,100uF,
"D1, D3",D_DO-35_SOD27_P7.62mm_Horizontal,2,1N4148,
D2,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm,1,LED GREEN,
G1,Vedatori_logo,1,LOGO,
G2,Vedatori_logo_small,1,LOGO,
"H1, H2, H3",MountingHole_3.2mm_M3_DIN965,3,MountingHole_Pad,
"J1, J16, J4, J9",Tone-O-Mat-Left-Pad,4,Conn_01x01_Male,
"J10, J12, J14, J17, J19, J2, J5, J7",Tone-O-Mat-Top-Pad,8,Conn_01x01_Male,
"J11, J13, J18, J6",Tone-O-Mat-Middle-Pad,4,Conn_01x01_Male,
"J15, J20, J3, J8",Tone-O-Mat-Right-Pad,4,Conn_01x01_Male,
"Q1, Q2",TO-92_Inline,2,BC547,
"R1, R49, R5, R59, R73",1206,5,4k7,
"R10, R18",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,3k6,
"R11, R13, R19, R53, R55, R79",1206,6,3k3,
"R12, R14, R20, R54, R56, R80",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,6,3k3,
R15,1206,1,499R,
R16,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,499R,
"R17, R9",1206,2,3k6,
"R2, R50, R6, R60, R74",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,5,4k7,
R21,1206,1,3k,
R22,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,3k,
"R23, R29",1206,2,2k7,
"R24, R30",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,2k7,
"R25, R31, R33",1206,3,2k4,
"R26, R32, R34",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,2k4,
"R27, R51, R71",1206,3,150R,
"R28, R52, R72",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,150R,
"R3, R62",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,300R,
R35,1206,1,2k2,
R36,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,2k2,
"R37, R41",1206,2,1k8,
"R38, R42",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1k8,
R39,1206,1,2k,
"R4, R61",1206,2,300R,
R40,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,2k,
"R43, R63, R77",1206,3,1k,
"R44, R64, R78",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,1k,
R45,1206,1,620R,
R46,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,620R,
R47,1206,1,27k,
R48,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,27k,
R57,1206,1,10k,
R58,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,
R65,1206,1,680R,
R66,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,680R,
"R67, R69",1206,2,5k1,
"R68, R70",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,5k1,
R7,1206,1,4k3,
R75,1206,1,56R,
R76,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,56R,
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,4k3,
R81,1206,1,270k,
R82,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,270k,
SP1,PinHeader_1x02_P2.54mm_Vertical,1,Speaker,
STYLUS,Pin_D1.3mm_L11.0mm,1,Conn_01x01_Male,
"TUNE, VOL",Potentiometer_Alps_RK09K_Single_Vertical,2,10k,
U1,DIP-8_W7.62mm_LongPads,1,NE555PS,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,NE555PS,
USB-C,USB_C_Right_Angle,1,USB_C_Receptacle_USB2.0,
VBR,SwitchMini,1,VIBRATO,
