Designator,Mid X,Mid Y,Rotation,Layer
C1,73.5,-70.84,0.0,top
C10,77.93,-82.42,0.0,top
C11,73.4975,-82.42,0.0,top
C12,77.98,-85.47,0.0,top
C13,73.5375,-85.43,0.0,top
C2,77.81,-70.87,0.0,top
C3,73.45,-73.7,0.0,top
C4,77.83,-73.72,0.0,top
C5,73.46,-76.5,0.0,top
C6,77.86,-76.55,0.0,top
C7,73.51,-79.41,0.0,top
C8,77.85,-79.47,0.0,top
C9,94.13,-64.57,0.0,top
D1,159.64,-82.28,90.0,top
D2,138.11,-66.9,180.0,top
D3,152.74,-60.91,270.0,top
G1,143.21,-96.36,180.0,bottom
G2,235.35,-64.74,0.0,top
J1,69.76,-109.16,0.0,top
J10,148.82,-113.65,0.0,top
J11,155.305,-109.875,0.0,top
J12,161.53,-113.66,0.0,top
J13,168.135,-109.875,0.0,top
J14,174.39,-113.66,0.0,top
J15,184.31,-108.29,0.0,top
J16,194.52,-109.15,0.0,top
J17,203.24,-113.67,0.0,top
J18,209.755,-109.875,0.0,top
J19,215.905,-113.68,0.0,top
J2,78.365,-113.7,0.0,top
J20,225.83,-108.28,0.0,top
J3,88.23,-108.31,0.0,top
J4,98.48,-109.17,0.0,top
J5,107.19,-113.67,0.0,top
J6,113.765,-109.885,0.0,top
J7,119.95,-113.67,0.0,top
J8,129.89,-108.28,0.0,top
J9,140.11,-109.14,0.0,top
Q1,87.68,-63.39,270.0,top
Q2,152.16,-79.36,90.0,top
R1,69.11,-97.05,90.0,top
R10,98.23,-101.73,90.0,top
R11,107.44,-96.68,90.0,top
R12,107.44,-101.81,90.0,top
R13,113.94,-96.65,90.0,top
R14,113.97,-101.77,90.0,top
R15,119.26,-96.69,90.0,top
R16,119.26,-101.78,90.0,top
R17,124.29,-96.57,90.0,top
R18,124.28,-101.73,90.0,top
R19,129.93,-96.52,90.0,top
R2,69.09,-102.25,90.0,top
R20,129.9,-101.82,90.0,top
R21,139.46,-96.61,90.0,top
R22,139.42,-101.74,90.0,top
R23,149.04,-96.67,90.0,top
R24,149.08,-101.76,90.0,top
R25,154.23,-96.95,90.0,top
R26,154.17,-101.67,90.0,top
R27,159.07,-96.57,90.0,top
R28,159.06,-101.54,90.0,top
R29,164.21,-96.35,90.0,top
R3,75.21,-102.14,90.0,top
R30,164.2,-101.5,90.0,top
R31,168.99,-96.46,90.0,top
R32,169.03,-101.46,90.0,top
R33,174.6,-96.46,90.0,top
R34,174.64,-101.47,90.0,top
R35,184.38,-96.52,90.0,top
R36,184.34,-101.54,90.0,top
R37,194.12,-96.26,90.0,top
R38,194.12,-101.46,90.0,top
R39,203.73,-96.26,90.0,top
R4,75.21,-97.07,90.0,top
R40,203.71,-101.38,90.0,top
R41,210.07,-96.24,90.0,top
R42,210.04,-101.36,90.0,top
R43,216.73,-96.23,90.0,top
R44,216.68,-101.26,90.0,top
R45,222.32,-96.25,90.0,top
R46,222.32,-101.22,90.0,top
R47,228.32,-96.07,90.0,top
R48,228.3,-101.1,90.0,top
R49,92.14,-71.39,0.0,top
R5,80.77,-96.94,90.0,top
R50,87.12,-71.44,0.0,top
R51,92.16,-74.91,0.0,top
R52,97.24,-74.91,180.0,top
R53,92.3,-78.27,0.0,top
R54,87.16,-78.3,0.0,top
R55,92.35,-81.76,0.0,top
R56,87.16,-81.78,0.0,top
R57,92.26,-85.27,0.0,top
R58,87.16,-85.26,0.0,top
R59,106.72,-64.58,0.0,top
R6,80.77,-102.05,90.0,top
R60,101.76,-64.59,0.0,top
R61,106.86,-68.03,0.0,top
R62,101.76,-68.02,0.0,top
R63,106.91,-71.46,0.0,top
R64,101.76,-71.47,0.0,top
R65,106.75,-74.83,0.0,top
R66,101.76,-74.88,0.0,top
R67,106.62,-78.22,0.0,top
R68,101.76,-78.26,0.0,top
R69,106.76,-81.57,0.0,top
R7,88.71,-96.74,90.0,top
R70,101.79,-81.66,0.0,top
R71,119.9,-64.57,180.0,top
R72,124.98,-64.57,180.0,top
R73,106.71,-85.32,0.0,top
R74,101.78,-85.36,0.0,top
R75,119.82,-68.07,0.0,top
R76,114.79,-68.06,0.0,top
R77,119.89,-78.35,0.0,top
R78,114.81,-78.35,0.0,top
R79,119.71,-74.91,0.0,top
R8,88.71,-101.82,90.0,top
R80,114.79,-74.9,0.0,top
R81,119.69,-71.47,0.0,top
R82,114.79,-71.47,0.0,top
R9,98.12,-96.79,90.0,top
SP1,159.92,-62.89,0.0,top
STYLUS,235.34,-100.47,0.0,top
TUNE,63.82,-97.32,180.0,top
U1,130.675,-79.12,0.0,top
U2,134.36,-73.55,0.0,top
USB-C,142.95,-67.2275,180.0,top
VBR,60.12,-120.08,270.0,top
VOL,63.82,-78.27,180.0,top
