ID;Part number;Package;Quantity;Value;In cart
21;C1,C7,C5,C3;C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;4;0.1uF;
32;C6,C8,C2,C4;C_Disc_D3.0mm_W2.0mm_P2.50mm;4;0.1uF;
63;C9;CP_Radial_D5.0mm_P2.00mm;1;100uF;
19;R78,R28;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;2;150R;
41;R77,R27;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;2;150R;
8;R62,R50,R56,R54,R52,R44,R60;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;7;1k;
26;R61,R55,R59,R51,R53,R43,R49;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;7;1k;
56;VOL;Potentiometer_Alps_RK09K_Single_Vertical;1;1k;
33;R38,R42;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;2;1k8;
47;R37,R41;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;2;1k8;
16;D2,D1;D_DO-35_SOD27_P7.62mm_Horizontal;2;1N4148;
6;C11;C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;1;2.2uF;
28;C10;C_Disc_D3.0mm_W2.0mm_P2.50mm;1;2.2uF;
43;R75;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;270k;
49;R76;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;270k;
35;R47;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;27k;
36;R48;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;27k;
24;C12;C_Disc_D3.0mm_W2.0mm_P2.50mm;1;27nF;
64;C13;C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;1;27nF;
48;R39;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;2k;
53;R40;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;2k;
13;R36;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;2k2;
30;R35;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;2k2;
14;R33,R25,R31;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;3;2k4;
38;R32,R26,R34;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;3;2k4;
22;R24,R30;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;2;2k7;
58;R23,R29;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;2;2k7;
18;R4;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;300R;
54;R3;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;300R;
51;R22;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;3k;
61;R21;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;3k;
23;R19,R11,R13,R73;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;4;3k3;
40;R74,R14,R12,R20;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;4;3k3;
12;R17,R9;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;2;3k6;
17;R10,R18;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;2;3k6;
55;R7;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;4k3;
59;R8;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;4k3;
7;R70,R58,R6,R2;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;4;4k7;
10;TUNE;Potentiometer_Alps_RK09K_Single_Vertical;1;4k7;
25;R1,R69,R57,R5;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;4;4k7;
52;R15;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;500R;
57;R16;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;500R;
39;R72;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;56R;
46;R71;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;56R;
20;R68,R66;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;2;5k1;
34;R65,R67;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;2;5k1;
29;R45;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;620R;
60;R46;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;620R;
31;R63;R_1206_3216Metric_Pad1.30x1.75mm_HandSolder;1;680R;
42;R64;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;680R;
44;Q1,Q2;TO-92_Inline;2;BC547;
37;D3;LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm;1;LED GREEN;
1;U1;DIP-8_W7.62mm_LongPads;1;NE555PS;
2;U2;SOIC-8_3.9x4.9mm_P1.27mm;1;NE555PS;
3;USB-C;USB_C_Right_Angle;1;USB_C_Receptacle_USB2.0;
5;VBR;SwitchMini;1;VIBRATO;
-;SPEAKER;Speaker;1;-;
